z,stage,nsim
5.88066574723032,5,54
2.578861304826399,1,55
4.07932185221484,2,55
4.984594711788228,3,55
4.7836741063640735,4,55
5.88066574488064,5,55
1.0491492497596566,1,56
2.436989949443623,2,56
4.84443230564553,3,56
5.9298994319005,4,56
5.88066574723032,5,56
4.781754791906593,1,57
4.632701833649521,2,57
5.496183452759027,3,57
6.51409430656055,4,57
5.88066574488064,5,57
2.9779903288896135,1,58
3.065445023373936,2,58
4.997413346369269,3,58
4.790008200715751,4,58
5.88066574488064,5,58
2.809491750711552,1,59
3.45098379013281,2,59
6.347981264631676,3,59
6.079986253647416,4,59
5.88066574488064,5,59
3.757380260047408,1,60
2.8622309693228587,2,60
2.636671779219587,3,60
4.809029814272107,4,60
5.88066574488064,5,60
3.013453160801075,1,61
3.997199442180082,2,61
4.109389331378284,3,61
5.651431798316316,4,61
5.88066574723032,5,61
4.726527004925319,1,62
4.4867799325027,2,62
3.94979858040146,3,62
5.209403182886845,4,62
5.88066574723032,5,62
2.6092983344586735,1,63
2.5195373826499337,2,63
2.9312434080639544,3,63
4.522115341279105,4,63
5.88066574488064,5,63
3.558203934716646,1,64
2.694295150168689,2,64
5.509225413266704,3,64
5.840139913857577,4,64
5.88066574488064,5,64
2.915688498889873,1,65
4.606507853632537,2,65
5.23570432008187,3,65
6.058289964423878,4,65
5.88066574723032,5,65
3.2343294762415056,1,66
4.483415232085487,2,66
6.574936908162322,3,66
5.780509027948379,4,66
5.88066574723032,5,66
3.4979280902883088,1,67
4.513330437231113,2,67
4.282165086255076,3,67
4.764013603621708,4,67
5.88066574488064,5,67
2.7149120026377678,1,68
4.386897421046802,2,68
4.216360728001685,3,68
4.6566151664682,4,68
5.88066574488064,5,68
4.401249410904772,1,69
4.329118093199962,2,69
4.650214058767709,3,69
5.299141619392353,4,69
5.88066574723032,5,69
4.631883086618953,1,70
5.055437720489427,2,70
5.411173604355505,3,70
5.480688106501766,4,70
5.88066574488064,5,70
2.0459392536473437,1,71
3.175457108167559,2,71
3.1695822605221933,3,71
2.673363348547355,4,71
5.88066574488064,5,71
0.5321654016610147,1,72
2.9728796973443674,2,72
3.769004172864039,3,72
4.593610687969508,4,72
5.88066574488064,5,72
1.315642309994966,1,73
