no,f1,f2_1,f3,sc1,sc2,sc3,sc4,sc5,sc6,sc7-1,sc7-2,sc7-3,sc7-4,sc7-5,sc7-6,sc7-7,sc7-8,sc7-9,sc7-10,sc7-11,sc8-1,sc8-2,sc8-3,sc8-4,sc8-5,sc8-6,sc8-7,sc8-8,sc8-9,sc8-10,sc9,sc10_1,sc10_2,sc10_3,sc10_4,sc10_5,sc10_6,sc10_7,sc10_8,sc10_9,sc10_10,f0
59,2,21,47,1,2,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3,2,3,2,1,3,1,1,3,1,1,1
60,1,23,27,1,6,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,2,1
61,2,19,22,4,11,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,1
62,2,22,29,1,2,1,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3,3,3,1,3,3,2,3,1,1,1
63,2,21,13,1,6,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,2,2,3,1,2,1
64,1,22,21,1,2,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,4,3,3,3,3,3,3,3,3,3,3,1
65,1,22,10,1,2,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,3,2,3,3,3,3,3,3,3,3,2,1
66,2,21,9,1,6,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,4,3,2,4,4,4,4,2,4,2,2,1
67,1,20,35,1,3,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,3,2,2,2,3,3,3,2,1
68,1,22,11,1,2,1,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,2,1,2,2,1,2,1,1,1
69,1,22,32,4,11,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,2,2,2,2,3,2,3,2,2,3,1
70,2,18,43,5,11,4,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,1
71,1,20,33,1,3,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,2,2,4,3,4,3,1
72,2,22,11,1,6,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,3,2,1,2,2,2,3,1,1,1
73,2,20,27,1,9,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,1
74,1,21,1,1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,1,3,1,3,3,1,3,1
75,2,21,23,1,5,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,3,1,1,1
76,2,20,14,1,1,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,1
77,2,20,11,1,1,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,2,1,1,1
78,2,20,26,1,9,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,4,4,4,4,4,4,1
79,2,20,4,3,6,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,3,3,3,2,2,2,3,3,2,1,1,1
80,2,22,6,4,1,4,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,4,4,4,4,4,4,4,4,4,4,1
